NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Rice Lake, WI Micro Area",879,611,226,294,671,4516,491,4112,24067,429690,20582,5083,46166,23596,37994,39960,,msa,39960,,2024
"Richmond, IN Micro Area",815,607,616,817,1858,8302,701,3761,30736,580795,26669,11507,64324,31085,53158,39980,,msa,39980,,2024
"Richmond, VA Metro Area",1447,15854,11322,15338,42817,176082,9537,36284,569714,13990850,550249,130692,1304931,723986,1088411,40060,,msa,40060,,2024
"Richmond-Berea, KY Micro Area",855,1585,936,1127,3361,17531,1806,5151,54711,1343205,51151,20451,119544,61289,102608,40080,,msa,40080,,2024
"Rifle, CO Micro Area",1716,996,710,1254,1821,10537,659,5746,38365,1098815,37932,6357,78312,45592,63643,40090,,msa,40090,,2024
"Rio Grande City-Roma, TX Micro Area",726,383,252,405,1326,5837,1600,3982,23139,478935,21213,21981,65584,26764,47143,40100,,msa,40100,,2024
"Riverside-San Bernardino-Ontario, CA Metro Area",1846,48309,35184,51059,141894,495428,26617,163050,1613300,60067845,1809184,547256,4600027,2258194,3660670,40140,,msa,40140,,2024
"Riverton, WY Micro Area",898,349,279,351,495,4490,584,2432,17469,260230,15164,4940,38548,18979,31010,40180,,msa,40180,,2024
"Roanoke, VA Metro Area",1043,3031,2195,3650,7437,41343,3423,16914,148424,2837285,125928,36518,306816,153758,258457,40220,,msa,40220,,2024
"Roanoke Rapids, NC Micro Area",803,633,517,580,2229,9550,1579,7273,35513,600445,22430,14032,62729,27692,53237,40260,,msa,40260,,2024
"Rochelle, IL Micro Area",936,425,163,457,744,5128,423,1861,22682,567540,21834,4258,50938,25496,41401,40300,,msa,40300,,2024
"Rochester, MN Metro Area",1276,2434,1592,1585,4740,23830,1702,6738,99618,2087675,101331,16848,224685,124876,180485,40340,,msa,40340,,2024
"Rochester, NY Metro Area",1143,12443,8897,11581,36682,145655,7704,35197,481033,9100880,432978,130703,1022609,541610,872165,40380,,msa,40380,,2024
"Rockford, IL Metro Area",1023,3727,2496,3665,10192,43151,2578,9819,145293,3213135,136238,48820,331725,166294,267582,40420,,msa,40420,,2024
"Rockingham, NC Micro Area",724,437,156,154,1518,5798,1387,2867,19893,398615,16537,10429,41347,19367,33776,40460,,msa,40460,,2024
"Rock Springs, WY Micro Area",911,261,228,453,772,4453,315,1787,19289,459225,19299,5271,40996,21649,32438,40540,,msa,40540,,2024
