place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
13820,"Birmingham, AL",traditional,all-transactions,2024,297.7475,4,"Birmingham, AL Metro Area",71498,1184613,38.9,167866,72066,465003,329222,240200,13820,2024,0.7079997333350537
13900,"Bismarck, ND",traditional,all-transactions,2014,262.96500000000003,4,"Bismarck, ND Metro Area",62375,120688,37.0,17273,5114,49468,35482,171000,13900,2014,0.7172717716503598
13900,"Bismarck, ND",traditional,all-transactions,2019,286.3425,4,"Bismarck, ND Metro Area",71398,127503,37.3,21167,5475,53810,37367,249000,13900,2019,0.6944248280988664
13900,"Bismarck, ND",traditional,all-transactions,2024,379.13,4,"Bismarck, ND Metro Area",85156,136216,38.4,23861,7168,55940,40397,306400,13900,2024,0.7221487307829818
13980,"Blacksburg-Christiansburg-Radford, VA",traditional,all-transactions,2014,188.5075,4,"Blacksburg-Christiansburg-Radford, VA Metro Area",44564,179908,32.8,18070,9415,68600,42677,159300,13980,2014,0.6221137026239068
13980,"Blacksburg-Christiansburg-Radford, VA",traditional,all-transactions,2019,217.505,4,"Blacksburg-Christiansburg, VA Metro Area",55065,166785,33.5,18247,10743,62701,37911,182600,13980,2019,0.6046315050796638
13980,"Blacksburg-Christiansburg-Radford, VA",traditional,all-transactions,2024,333.87,4,"Blacksburg-Christiansburg-Radford, VA Metro Area",65839,181664,35.1,20431,13077,70282,44239,240900,13980,2024,0.6294499302808685
14010,"Bloomington, IL",traditional,all-transactions,2014,145.3075,4,"Bloomington, IL Metro Area",61173,188851,33.2,32215,10740,71161,48111,154000,14010,2014,0.6760866204803193
14010,"Bloomington, IL",traditional,all-transactions,2019,149.0075,4,"Bloomington, IL Metro Area",67675,172578,33.1,30723,12080,65845,42551,167000,14010,2019,0.646229782063938
14010,"Bloomington, IL",traditional,all-transactions,2024,226.82999999999998,4,"Bloomington, IL Metro Area",79905,171556,34.3,32898,12225,70220,45704,208400,14010,2024,0.6508686983765309
14020,"Bloomington, IN",traditional,all-transactions,2014,166.33,4,"Bloomington, IN Metro Area",42416,162422,29.7,17947,12151,62317,35780,150800,14020,2014,0.5741611438291317
14020,"Bloomington, IN",traditional,all-transactions,2019,215.115,4,"Bloomington, IN Metro Area",49798,167296,31.1,21794,13161,64400,38056,166400,14020,2019,0.5909316770186336
14020,"Bloomington, IN",traditional,all-transactions,2024,327.2625,4,"Bloomington, IN Metro Area",65543,162569,33.1,21584,14947,67854,38979,263700,14020,2024,0.5744539747104076
