vintage,cbsa_code,county_fips
2014,33740,22073
2014,33740,22111
2014,33780,26115
2014,33860,01001
2014,33860,01051
2014,33860,01085
2014,33860,01101
2014,33874,42017
2014,33874,42029
2014,33874,42091
2014,33940,08085
2014,33980,37031
2014,34020,22101
2014,34060,54061
2014,34060,54077
2014,34100,47063
2014,34100,47089
2014,34140,16057
2014,34180,53025
2014,34220,13071
2014,34260,05005
2014,34300,16039
2014,34340,37171
2014,34380,26073
2014,34420,48449
2014,34460,21011
2014,34460,21165
2014,34460,21173
2014,34500,17081
2014,34540,39083
2014,34580,53057
2014,34620,18035
2014,34660,21035
2014,34700,19139
2014,34740,26121
2014,34780,40101
2014,34820,37019
2014,34820,45051
2014,34860,48347
2014,34900,06055
2014,34940,12021
2014,34980,47015
2014,34980,47021
2014,34980,47037
2014,34980,47043
2014,34980,47081
2014,34980,47111
2014,34980,47119
2014,34980,47147
2014,34980,47149
2014,34980,47159
2014,34980,47165
2014,34980,47169
2014,34980,47187
2014,34980,47189
2014,35004,36059
2014,35004,36103
2014,35020,22029
2014,35020,28001
2014,35060,22069
2014,35084,34013
2014,35084,34019
2014,35084,34027
2014,35084,34035
2014,35084,34037
2014,35084,34039
2014,35084,42103
2014,35100,37049
2014,35100,37103
2014,35100,37137
2014,35140,45071
2014,35220,18065
2014,35260,42073
2014,35300,09009
2014,35380,22051
2014,35380,22071
2014,35380,22075
2014,35380,22087
2014,35380,22089
2014,35380,22093
2014,35380,22095
2014,35380,22103
2014,35420,39157
2014,35440,41041
2014,35460,47029
2014,35500,19099
2014,35580,27015
2014,35614,34003
2014,35614,34017
2014,35614,34023
2014,35614,34025
2014,35614,34029
2014,35614,34031
2014,35614,36005
2014,35614,36047
2014,35614,36061
2014,35614,36071
2014,35614,36081
2014,35614,36085
2014,35614,36087
2014,35614,36119
2014,35620,34003
2014,35620,34013
2014,35620,34017
2014,35620,34019
2014,35620,34023
2014,35620,34025
2014,35620,34027
2014,35620,34029
2014,35620,34031
2014,35620,34035
2014,35620,34037
2014,35620,34039
2014,35620,36005
2014,35620,36027
2014,35620,36047
2014,35620,36059
2014,35620,36061
2014,35620,36071
2014,35620,36079
2014,35620,36081
2014,35620,36085
2014,35620,36087
2014,35620,36103
2014,35620,36119
2014,35620,42103
2014,35660,26021
2014,35700,04023
2014,35740,31119
2014,35740,31139
2014,35740,31167
2014,35820,31111
2014,35820,31113
2014,35820,31117
2014,35840,12081
2014,35840,12115
2014,35860,18079
2014,35900,37193
2014,35940,39077
2014,35980,09011
2014,36020,53029
2014,36084,06001
2014,36084,06013
2014,36100,12083
2014,36140,34009
2014,36220,48135
2014,36260,49003
2014,36260,49011
2014,36260,49029
2014,36260,49057
2014,36300,36089
2014,36340,42121
2014,36380,12093
2014,36420,40017
2014,36420,40027
2014,36420,40051
2014,36420,40081
2014,36420,40083
2014,36420,40087
2014,36420,40109
2014,36460,36009
2014,36500,53067
2014,36540,19085
2014,36540,19129
2014,36540,19155
2014,36540,31025
2014,36540,31055
2014,36540,31153
2014,36540,31155
2014,36540,31177
2014,36580,36077
2014,36620,16075
2014,36620,41045
2014,36660,22097
2014,36700,45075
2014,36740,12069
2014,36740,12095
2014,36740,12097
2014,36740,12117
2014,36780,55139
2014,36820,19123
2014,36830,53001
2014,36840,20059
2014,36860,17011
2014,36860,17099
2014,36860,17155
2014,36900,19051
2014,36900,19179
2014,36940,27147
2014,36980,21059
2014,36980,21091
2014,36980,21149
2014,37020,26155
2014,37060,28071
2014,37080,37077
2014,37100,06111
2014,37120,01045
2014,37140,17127
2014,37140,21007
2014,37140,21139
2014,37140,21145
2014,37220,32023
2014,37260,12107
2014,37300,48001
2014,37340,12009
2014,37420,48179
2014,37460,12005
2014,37460,12045
2014,37500,05055
2014,37540,47079
2014,37580,48277
2014,37620,54105
2014,37620,54107
2014,37660,20099
2014,37740,04007
2014,37780,48389
2014,37860,12033
2014,37860,12113
2014,37900,17123
2014,37900,17143
2014,37900,17175
2014,37900,17179
2014,37900,17203
2014,37940,18103
2014,37964,42045
2014,37964,42101
2014,37980,10003
2014,37980,24015
2014,37980,34005
2014,37980,34007
2014,37980,34015
2014,37980,34033
2014,37980,42017
2014,37980,42029
2014,37980,42045
2014,37980,42091
2014,37980,42101
2014,38060,04013
2014,38060,04021
2014,38100,28109
2014,38180,46065
2014,38180,46117
2014,38180,46119
2014,38220,05025
2014,38220,05069
2014,38220,05079
2014,38240,37125
2014,38260,20037
2014,38300,42003
2014,38300,42005
2014,38300,42007
2014,38300,42019
2014,38300,42051
2014,38300,42125
2014,38300,42129
2014,38340,25003
2014,38380,48189
2014,38420,55043
2014,38460,36019
2014,38500,18099
2014,38540,16005
2014,38580,39053
2014,38580,54053
2014,38620,40071
2014,38660,72055
2014,38660,72059
2014,38660,72075
2014,38660,72111
2014,38660,72113
2014,38660,72149
2014,38660,72153
2014,38700,17105
2014,38740,29023
2014,38780,35041
2014,38820,53009
2014,38840,39123
2014,38860,23005
2014,38860,23023
2014,38860,23031
2014,38900,41005
2014,38900,41009
2014,38900,41051
2014,38900,41067
2014,38900,41071
2014,38900,53011
2014,38900,53059
2014,38920,48057
2014,38940,12085
2014,38940,12111
2014,39020,39145
2014,39060,42107
2014,39140,04025
2014,39220,49007
2014,39260,41013
2014,39300,25005
2014,39300,44001
2014,39300,44003
2014,39300,44005
2014,39300,44007
2014,39300,44009
2014,39340,49023
2014,39340,49049
2014,39380,08101
2014,39420,53075
2014,39460,12015
2014,39500,17001
2014,39500,29111
2014,39540,55101
2014,39580,37069
2014,39580,37101
2014,39580,37183
2014,39660,46033
2014,39660,46093
2014,39660,46103
2014,39700,48489
2014,39740,42011
2014,39780,06103
2014,39820,06089
2014,39860,27049
2014,39900,32029
2014,39900,32031
2014,39940,16043
2014,39940,16065
2014,39980,18177
2014,40060,51007
2014,40060,51033
2014,40060,51036
2014,40060,51041
2014,40060,51053
2014,40060,51075
2014,40060,51085
2014,40060,51087
2014,40060,51101
2014,40060,51127
2014,40060,51145
2014,40060,51149
2014,40060,51183
2014,40060,51570
2014,40060,51670
2014,40060,51730
2014,40060,51760
2014,40080,21151
2014,40080,21203
2014,40100,48427
2014,40140,06065
2014,40140,06071
2014,40180,56013
2014,40220,51023
2014,40220,51045
2014,40220,51067
2014,40220,51161
2014,40220,51770
2014,40220,51775
2014,40260,37083
2014,40260,37131
2014,40300,17141
2014,40340,27039
2014,40340,27045
2014,40340,27109
2014,40340,27157
2014,40380,36051
2014,40380,36055
2014,40380,36069
2014,40380,36073
2014,40380,36117
2014,40380,36123
2014,40420,17007
2014,40420,17201
2014,40460,37153
2014,40484,33015
2014,40484,33017
2014,40540,56037
2014,40580,37065
2014,40580,37127
2014,40620,29161
2014,40660,13115
2014,40700,41019
2014,40740,35005
2014,40780,05115
2014,40780,05149
2014,40820,22061
2014,40860,50021
2014,40900,06017
2014,40900,06061
2014,40900,06067
2014,40900,06113
2014,40940,04009
2014,40980,26145
2014,41060,27009
2014,41060,27145
2014,41100,49053
2014,41140,20043
2014,41140,29003
2014,41140,29021
2014,41140,29063
2014,41180,17005
2014,41180,17013
2014,41180,17027
