Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,220,22420, ,Flint  MI ,236,236,71676,6,12,2537,14,52,11812,6,80,11237,216,216,67351,6,12,2537,14,52,11812,6,80,11237
202399,220,33780, ,Monroe  MI ,180,180,49360,5,10,1540,4,16,2300,10,52,4073,130,130,37764,5,10,1540,4,16,2300,2,12,1200
202399,222,20020, ,Dothan  AL ,442,442,122573,0,0,0,4,16,1906,0,0,0,307,307,92300,0,0,0,4,16,1906,0,0,0
202399,232,20740, ,Eau Claire  WI ,339,339,131686,71,142,35121,2,8,1382,33,1012,153612,339,339,131686,71,142,35121,2,8,1382,33,1012,153612
202399,236,21300, ,Elmira  NY ,25,25,4513,0,0,0,0,0,0,10,54,6052,19,19,3209,0,0,0,0,0,0,0,0,0
202399,238,21340,C,El Paso  TX ,1967,1967,469144,32,64,8291,11,34,4482,18,182,21449,365,365,92841,0,0,0,0,0,0,0,0,0
202399,238,29740,C,Las Cruces  NM ,837,837,238035,6,12,2317,3,12,1049,0,0,0,732,732,214694,6,12,2317,3,12,1049,0,0,0
202399,240,21500, ,Erie  PA ,144,144,51627,2,4,350,0,0,0,13,76,10873,141,141,50913,2,4,350,0,0,0,13,76,10873
202399,244,22020, ,Fargo  ND-MN ,885,885,271865,0,0,0,0,0,0,14,1204,185833,882,882,271131,0,0,0,0,0,0,14,1204,185833
202399,246,22180, ,Fayetteville  NC ,2542,2542,523834,2,4,521,0,0,0,1,30,2999,1868,1868,431464,2,4,521,0,0,0,1,30,2999
202399,258,23060,C,Fort Wayne  IN ,1680,1680,562644,22,44,4785,2,6,600,35,706,93137,1680,1680,562644,22,44,4785,2,6,600,35,706,93137
202399,260,23420,C,Fresno  CA ,2376,2376,792401,1,2,348,4,12,1200,71,764,131234,2245,2245,736381,1,2,348,4,12,1200,71,764,131234
202399,260,25260, ,Hanford-Corcoran  CA ,573,573,178183,5,10,1911,7,24,4802,12,140,15223,475,475,147149,4,8,1414,4,15,2501,12,140,15223
202399,260,31460, ,Madera  CA ,1109,1109,342730,0,0,0,0,0,0,0,0,0,1109,1109,342730,0,0,0,0,0,0,0,0,0
202399,264,23540, ,Gainesville  FL ,1247,1247,366260,2,4,384,2,7,699,6,687,72757,1147,1147,334939,2,4,384,2,7,699,6,687,72757
202399,266,24340, ,Grand Rapids-Kentwood  MI ,2405,2405,805799,43,86,16594,42,161,29610,46,951,183068,2252,2252,763145,30,60,10984,40,155,28334,22,698,145956
202399,266,34740, ,Muskegon  MI ,308,308,86020,2,4,1000,0,0,0,0,0,0,287,287,81997,2,4,1000,0,0,0,0,0,0
