NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Cambridge, MD Micro Area",52917,32138,44.6,3040,1292,13183,8969,183300,15700,,msa,15700,,2019
"Cambridge, OH Micro Area",45917,39111,42.2,2448,1174,16220,11591,114700,15740,,msa,15740,,2019
"Camden, AR Micro Area",37220,29022,43.4,1699,874,11508,8245,74200,15780,,msa,15780,,2019
"Campbellsville, KY Micro Area",41514,36550,40.0,2278,1413,14270,9198,107200,15820,,msa,15820,,2019
"Cañon City, CO Micro Area",49409,47321,45.1,4102,2150,17136,12858,174000,15860,,msa,15860,,2019
"Canton-Massillon, OH Metro Area",53978,399736,42.3,39186,17467,164758,113546,133900,15940,,msa,15940,,2019
"Cape Coral-Fort Myers, FL Metro Area",57832,737468,48.5,97615,40004,275965,199589,224800,15980,,msa,15980,,2019
"Cheyenne, WY Metro Area",66910,98320,37.0,11855,5195,39683,27692,227900,16940,,msa,16940,,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",71770,9508605,37.5,1486322,704759,3514621,2266961,239600,16980,,msa,16980,,2019
"Cape Girardeau, MO-IL Metro Area",51429,96976,37.8,10647,4578,36341,24529,150800,16020,,msa,16020,,2019
"Carbondale-Marion, IL Metro Area",45052,137573,37.9,13428,7886,55215,34862,111800,16060,,msa,16060,,2019
"Carlsbad-Artesia, NM Micro Area",65328,57732,35.2,3733,1995,21251,14768,155900,16100,,msa,16100,,2019
"Carroll, IA Micro Area",59212,20281,42.0,2354,556,8726,6617,138900,16140,,msa,16140,,2019
"Carson City, NV Metro Area",55718,54773,42.4,5629,1957,22755,12915,273800,16180,,msa,16180,,2019
"Casper, WY Metro Area",62772,80333,36.9,7900,3317,32799,22363,208700,16220,,msa,16220,,2019
"Cedar City, UT Micro Area",51807,51213,29.1,5806,1724,17015,10884,213600,16260,,msa,16260,,2019
