NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Lafayette, LA Metro Area",60892,413428,37.3,53669,15223,164378,112095,214400,29180,2024
"Lafayette-West Lafayette, IN Metro Area",62011,226805,30.8,27757,12943,90706,52637,226100,29200,2024
"La Grande, OR Micro Area",65661,26144,40.0,3023,1072,10900,7141,294600,29260,2024
"LaGrange, GA-AL Micro Area",54888,104522,38.6,8747,4144,40338,25941,182600,29300,2024
"Lake Charles, LA Metro Area",66700,244027,37.6,25044,9144,92043,67963,207800,29340,2024
"Lake City, FL Micro Area",59205,71789,40.7,5772,2126,27430,19886,194900,29380,2024
"Lake Havasu City-Kingman, AZ Metro Area",57684,220517,53.6,16295,7148,101973,75535,281000,29420,2024
"Lakeland-Winter Haven, FL Metro Area",65978,790694,39.5,86729,31509,289425,203945,266500,29460,2024
"Lake of the Woods, VA Micro Area",94008,37822,42.1,5069,2422,14856,11688,364200,29470,2024
"Lancaster, PA Metro Area",86959,557931,39.4,78303,33312,212748,148550,301100,29540,2024
"Lansing-East Lansing, MI Metro Area",72550,472669,36.5,68822,31211,194163,129326,216700,29620,2024
"Laramie, WY Micro Area",61917,38249,28.6,5920,3676,17083,8546,333000,29660,2024
"Laredo, TX Metro Area",63058,269294,30.0,23302,7324,81373,52630,189900,29700,2024
"Lares, PR Micro Area",18917,27855,45.5,3364,986,10770,6787,105100,29720,2024
"Las Cruces, NM Metro Area",56848,224266,34.3,25007,14216,84889,55574,220800,29740,2024
"Las Vegas, NM Micro Area",50585,30999,48.0,3450,2493,13899,10425,177900,29780,2024
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",76472,2329548,38.5,297729,107764,862518,498384,431000,29820,2024
"Laurel, MS Micro Area",51236,82531,38.6,6465,2742,31604,24203,132900,29860,2024
"Laurinburg, NC Micro Area",45730,33590,38.7,2278,1133,12580,7773,114900,29900,2024
"Lawrence, KS Metro Area",69746,120302,31.6,20569,11908,50406,25246,309400,29940,2024
"Lawrenceburg, TN Micro Area",54706,45385,39.3,2830,1420,16991,13177,194400,29980,2024
"Lawton, OK Metro Area",60665,127310,34.4,13179,5197,46938,26603,161000,30020,2024
"Lebanon, MO Micro Area",53282,36390,39.2,2595,1177,14558,9930,168400,30060,2024
"Lebanon, PA Metro Area",78425,144186,41.1,14856,7144,56712,40419,242000,30140,2024
"Lebanon-Claremont, NH-VT Micro Area",83269,223586,46.1,36502,21086,91760,68526,301900,30150,2024
"Le Mars, IA Micro Area",83251,25747,41.3,2919,615,10313,7591,228900,30180,2024
"Lewisburg, PA Micro Area",76404,42456,41.0,4220,2156,14546,10520,240100,30260,2024
"Lewisburg, TN Micro Area",71049,36049,39.5,4109,1267,13622,10463,279800,30280,2024
"Lewiston, ID-WA Metro Area",72475,65164,42.8,8071,2584,26760,19114,331900,30300,2024
"Lewiston-Auburn, ME Metro Area",67873,113423,40.5,12701,4566,46953,31865,252800,30340,2024
"Lewistown, PA Micro Area",63953,46041,43.4,3043,1385,18510,13166,156700,30380,2024
"Lexington, NE Micro Area",70652,26242,36.4,2328,503,9981,6745,169200,30420,2024
"Lexington-Fayette, KY Metro Area",71966,522560,36.7,83637,40344,216273,128234,281300,30460,2024
"Lexington Park, MD Metro Area",126256,209439,38.6,29042,19320,75901,60232,434100,30500,2024
"Liberal, KS Micro Area",63827,21486,31.0,1018,334,7257,4485,136500,30580,2024
"Lima, OH Metro Area",64038,101348,39.7,8371,3796,41295,27952,165300,30620,2024
"Lincoln, IL Micro Area",66358,27713,41.1,2749,1011,11266,7716,134400,30660,2024
